id,folder,direction,estimand,status,started_at,closed_at,decision_note
1,01_cumulation_readiness,Pre-policy regional cumulation readiness,Differential post-2022 firm response by frozen pre-policy RCEP sourcing breadth,FAILED,2026-07-23,2026-07-23,Exposure window mechanically defines the frozen pre-period outcomes; identification gate is not interpretable
2,02_relationship_survival,Relationship survival and exit,Post-2022 change in survival of a fixed 2017 incumbent Asian supplier-link cohort,FAILED,2026-07-23,2026-07-23,Preferred staged event study rejects joint pre-trends at p=8.73e-14
3,03_new_link_formation,New link and new-country formation,Within-firm-year change in first supplier-country entry among a fixed 2017 covered-firm risk set,FAILED,2026-07-23,2026-07-23,Only four Asian control countries record pre-policy entry events; frozen support gate requires five
4,04_regionalization_diversity,Regionalization concentration and network diversity,Within-firm-year reallocation of active supplier links toward RCEP candidate countries,FAILED,2026-07-23,2026-07-23,Data support passed but joint cohort-specific pretrend p=4.38e-08 failed the frozen gate
5,05_supplier_customer_asymmetry,Supplier-customer response asymmetry,Triple-difference in RCEP supplier versus customer link reallocation with country-year fixed effects,INCONCLUSIVE,2026-07-23,2026-07-23,Support and pretrend passed; country-label randomization p=0.0976 failed the frozen positive-evidence threshold
6,06_disruption_recovery,Disruption recovery and resilience,Continuity or reactivation of supplier relationships active immediately before the 2020-2021 disruption,FAILED,2026-07-23,2026-07-23,Only 48 firms had both RCEP and control cohort links; frozen within-firm support threshold was 50
7,07_fta_novelty,Prior-FTA institutional novelty,Differential supplier-network response by frozen exposure to previously separate trade-agreement architectures,FAILED,2026-07-23,2026-07-23,Exposure support passed but only 2556 firms met the frozen 3000-firm balanced-panel threshold
8,08_revenue_dependence,Relationship dependence in quantified links,Differential active-link response by pre-policy revenue_percent in the documented-coverage subsample,FAILED,2026-07-23,2026-07-23,Support passed but revenue-moderation pretrends rejected at p=3.65e-48 with maximum lead 0.2685
9,09_cross_architecture_landmark,Cross-architecture landmark design,Support-informed non-overlapping test of supplier-network response by prior institutional architecture count,FRAGILE_EXPLORATORY,2026-07-23,2026-07-23,Own gates passed with estimate -0.0542 and permutation p=0.001 but Experiment 10 detrended sensitivity failed
10,10_cross_architecture_detrended,Differential-trend sensitivity,Post-result test of whether the cross-architecture finding survives a linear exposure-specific trend,FAILED_SENSITIVITY,2026-07-23,2026-07-23,Detrended break -0.0212 with clustered p=0.4694 and stratified-randomization p=0.247
